,text,label
0," The king Prithviraj Chauhan was defeated in 1192 by Muhammad Ghori , a Tajik invader from Afghanistan , who made a concerted effort to conquer northern India . By 1200 , native Hindu resistance had begun to crumble , the dominance of foreign Turkic Muslim dynasties in north India was to last for the next five centuries . The slave general of Ghori , Qutb @-@ ud @-@ din [UNK] was given the responsibility of governing the conquered territories of India . He began construction of the Qutb Minar and [UNK] @-@ al @-@ Islam ( Might of Islam ) mosque , the earliest extant mosque in India . Qutb @-@ ud @-@ din faced widespread Hindu rebellions and it was his successor , [UNK] ( 1211 – 36 ) , who consolidated the Turkic conquest of northern India . ",1
1," Although Akagi sustained only one direct hit ( almost certainly dropped by Lieutenant Commander Best ) , it proved to be a fatal blow ; the bomb struck the edge of the mid @-@ ship deck elevator and penetrated to the upper hangar deck , where it exploded among the armed and fueled aircraft in the vicinity . Nagumo 's chief of staff , Ryūnosuke Kusaka , recorded "" a terrific fire ... bodies all over the place ... Planes stood tail up , belching livid flames and jet @-@ black smoke , making it impossible to bring the fires under control . "" Another bomb exploded under water very close astern ; the resulting geyser bent the flight deck upward "" in grotesque configurations "" and caused crucial rudder damage . ",0
2," Beginning on July 23 , Garfield took a turn for the worse . His temperature increased to 104 ° F ( 40 ° C ) ; doctors , concerned by a pus sac that had developed by the wound , operated and inserted a drainage tube . This initially seemed to help , and Garfield , in his bed , was able to hold a brief cabinet meeting on July 29 , though members were under orders from Bliss to discuss nothing that might excite Garfield . Doctors probed the sac , which went into Garfield 's body , hoping to find the bullet ; they most likely only made the infections worse . Garfield performed only one state act in August , signing an extradition paper . By the end of the month , the president was much more feeble than he had been , and his weight had decreased to 130 pounds ( 59 kg ) . ",0
3," The Age of Kings won GameSpot 's Strategy Game of the Year in 1999 , and was a nominee for Game of the Year . GamePower also named it Strategy Game of the Year , while PC Gamer and Computer Gaming World gave it Editor 's Choice awards . The Age of Kings won Strategy Game of the Year and Computer Game of the Year at the 2000 Academy of Interactive Arts & Sciences awards . It was also nominated for Game of the Year , Outstanding Achievement in Animation , Outstanding Achievement in Game Design , and Outstanding Achievement in Game Play Engineering . IGN ranked The Age of Kings the 53rd best game of all time in 2005 , and the 10th best PC game of all time in 2007 . GameFAQs users placed it 56th in a poll of the best games ever . ",1
4, * Whether Menumorut is an actual or an invented person is debated by modern scholars . * * All later grand princes and kings of Hungary descended from Taksony . ,1
5," The main Brazilian ethanol industry organization ( UNICA ) commented that this study and other calculations of land @-@ use impacts are missing a key factor , the fact that in Brazil "" cattle production and pasture has been intensifying already and is projected to do so in the future . "" ",0
6," Compulsory education is divided into ten years . Schools which have all ten years , year one to seven , and years eight to ten are common . Those schools which teach from years eight to ten often have a wider catchment area . The size of institutions is widely varied . In the Reykjavík urban area , schools can be up to 1200 pupils in size . In rural areas , schools can have fewer than 10 pupils , and around 50 % of schools have fewer than 100 pupils . All compulsory education institutions are mixed sex . Many counselling services are available , including help with studies and specific subjects ; psychological counselling is also available . ",1
7," In 1995 , Favre won the first of his three AP MVP awards . Favre led the Packers to an 11 – 5 record , Green Bay 's best record in nearly thirty years . Favre passed for a career high of 4 @,@ 413 yards , 38 touchdowns , and recorded a quarterback rating of 99 @.@ 5 , which was the highest of his career until he recorded a rating of 107 @.@ 2 during the 2009 season . Favre also tied an NFL record by passing for at least two touchdowns in twelve consecutive games , a feat he accomplished over the 1994 – 1995 seasons . The Packers advanced to the NFC Championship Game after upsetting the San Francisco 49ers in the NFC Divisional Game . The Packers lost the NFC Championship game to the Dallas Cowboys , marking the third year in a row the Packers season was ended by the Cowboys in the playoffs . Favre helped the Packers advance farther in the playoffs than any other Packer team since 1967 , the season the Packers won Super Bowl II . ",1
8," CIPR changed its membership structure in 2011 . Affiliate @-@ level memberships were removed and the requirement for six years of experience to attain full membership status was reduced to two . That same year , CIPR responded to a report by the UK 's Intellectual Property Office . CIPR felt that copyright policy decisions were prioritizing commercial interests over the public good . They expressed concern that the Newspaper Licensing Agency ( NLA ) was both the most popular provider of newspaper clippings to public relations professionals in the UK and the organization that enforces the intellectual property rights of newspapers . ",0
9," A 19th @-@ century New York Times article claimed that "" [ t ] he decision is one of local , state , and national importance alike . . . . "" In 1998 Prof. [UNK] summed up the case by the following : ",1
10," At this point , the distance between NY 32 and the Thruway begins to widen . At the junction with Malden Turnpike ( CR 34 ) , Route 32 turns westward , toward the Catskill Escarpment , and starts climbing through some rock cuts . When Blue Mountain Road ( CR 35 ) comes in from the south , NY 32 resumes heading north , parallel to the ridge . 1 mile ( 1 @.@ 6 km ) from that junction , its only suffixed route , NY 32A , splits off to the west to provide direct access via NY 23A and [UNK] Clove to [UNK] and Hunter . ",0
11," As a general description , the distinct value system of Filipinos is rooted primarily in personal alliance systems , especially those based in kinship , obligation , friendship , religion ( particularly Christianity ) , and commercial relationships . ",1
