,text,label
0,"Overall great experience. Can't wait to go back. Here are some points...\n\nGood:\nGorgeous property\nLots of pool space\nAmazing view of strip\nGood food/drinks\nCabana servers were really attentive\nLots of cabanas, day beds\nBungalow cabanas have private infinity edge pool\n\n\nBad:\nCabanas didn't have a safe \nBungalow cabana infinity edge pools are shared between 2 cabanas (luckily we had it all to ourselves)\nSeemed a little disorganized a times (cabana check-in); but probably due to being so new",1
1,Never seen something so useless in my life. A bunch of small stores with no good things. Smells weird and there isn't even a lot of stores to be honest. Everyone looks like they don't wanna be there which sucks. Place isn't good at all. Don't waste your Money on junk.,0
2,"This Trader Joe's is wonderfully placed in the Metropolitan shopping center right outside of Elizabeth and Myers Park. Love the location. \n\nI love that this locating always has tons of fresh herbs outside. You can always find some good basil or small mint plants outside. I've bout a few of these before and they plant really well. Although, good luck finding ideal soil if you live around Uptown. \n\nThis location seems a bit larger than some of the others around Charlotte. They have all of the regular sections but they definitely have the largest selection of flowers on the left upon entering. You can't miss them. I've bought flowers from here multiple times and they always have beautiful calla lilies and sunflowers. \n\nThe worst part about this location is the parking. Everyone knows it. It's always busy. Everyone is a terrible driver. Get ready to park on the 2nd, 3rd, 4th, 5th floor or not at all. You'll be driving around for quite some time before you're satisfied and happy with your first floor parking space.",1
3,"If you are hungry, want small portions and pay outrageous amounts of money for less than mediocre service then you might consider eating her. Don't let Domino F serve you. Terrible service! We asked for extra napkins for a party of 6 and were only brought two. Drinks were expensive. $8 beers and $14 margaritas. Taco u -pick two plates are the best deal at $11. \n\nThere are way better places to eat in Vegas.",0
4,"One of the most pleasant dining experiences of my life.\n\nAs we arrived, we where greeted in a polite and formal manner. They took our coats and there was no wait to get to our seat.\n\nUnfortunately we were seated at the far back of the dining room away from any windows, so our view was only of the other patrons. The dining room is very spacious however, so even in the back corner we did not feel like we where stick in the corner. This was much appreciated, as I get claustrophobic in small dining rooms full of people like at Le Cirque.\n\nThe service throughout the night was professional, informed, and always there when we needed. They even toped up my wine a few times in between courses without saying anything.\n\nThe one dish that stood out the most was a giant scallop dish. It was so good, that we where obsessed with scallops for months after, looking for anything that tasted near as good.\n\nI will most certainly go back.",1
5,"Just tried this place on Friday night for the 1st time...and loved it. Very much like the little noodle restaurants hidden on little side streets all over Hong Kong. Just a small dive eatery, basic tables and minimal decor, chopsticks and spoons sitting in holders on the table for patrons to get themselves. The clientele was heavily Asian when we were there...as every table looked to have at least one Asian person, lending a degree of authenticity to the place. The menu is minimal, maybe 40 items in total, including soups and appetizers, and split in to four primary sections: appetizers, \""""special\"""" noodle dishes, soup noodles, and fried noodles. The noodles are made fresh for each dish, and after you order, you can watch the noodle guy making your noodles through a big window that separates the kitchen from the dining room. He pulls and stretches the dough, and 5 minutes later you're eating those noodles. Great noodles too!\nFor soup, we had the fish ball soup, which is roundish, white balls of fish stuffed with a ground pork mix, and cooked in soup. Very good. \nThe first dish that came out was the shrimp with corn noodles in curry, and that was great. We simply devoured that dish. We also had the seafood noodle soup, and that was good. Not as full of flavor as the curry dish, but a nice, standard Asian soup. A nice feature was the amount of squid included in the soup, and the cuttlefish ball.\nFinally, we had #34 on the menu, the spicy beef with the XO sauce (though we actually substituted chicken for the beef), and it definitely has a little bit of chili powder and kick. Not extremely hot, but just enough spice to mix with the flavor to produce a great dish. The only thing I'd change is that they were pretty heavy on the amount of onions in the dish, but overrall great dish.\nService was quick, efficient, tables are turned quickly, and food came out quickly. On top of that, the place is CHEAP! Most of the dishes are $5.95, at best, and several are under $5.",1
6,Went there around 1:15 PM on Sunday. We had to wait over 45 minutes to get our food which was cold and tasteless. The only thing that makes me give that restaurant a second star is the friendly waitress and because they offered us a drink and didn't charge for the coffees because we had to wait for so long.,0
7,"This is my favorite Mediterranean restaurant. What you'll find here is real Lebanese food, with standout lebni (soft cheese for dipping), kafta (skewered burger) and big pillows of hot pita.\n\nI go for the kibbi, because practically no one in town makes it, and nobody makes it like this. Kibbi is a shell of bulghur, lamb and spices encasing a filling of meat, onion, pine nuts and spices. It's a labor-intensive dish (I know...I've tried) and this is made with love. Served on a bed of fragrant pilaf and a yogurt dipping sauce, I'm in lamb-y, happy kibbi heaven every time I have it.\n\nFinish with the rice pudding. Seriously. It's wondrous.\n\nEveryone that says to call ahead is right. You take your chances when you just show up. But when you call ahead and get a machine, you can pretty much bet they're not open. Call twice just to be safe.",1
8,"I'm rarely in Scottsdale, but I had meetings all day.  I asked a coworker where to go for lunch and he made the suggestion we hit up Big City Bagels.  I'm so glad we did.  \n\nI had a BLT Bagel to fulfill my bacon craving.  The bacon was crispy and there was plenty of it.  The sandwich was great, filling without being heavy.  The veggies were fresh and tasty.  The staff was friendly and I was quite impressed.  Now I'm looking for a reason to go back to Scottsdale for another lunch!",1
9,"I think this restaurant deserves more than 3 stars. My girlfriend and I did the groupon and saved 10 dollar on our bill.\n\nFood was pretty good; will admit that the Strip pricing was a little hard to swallow, but the quality of service was great.\nI will be going back.",1
10,"What a wonderful evening to start out with happy hour and mike I or ( my guy ) excellent food from grilled shrimp to creme burlee fun friend, tequila... Had a great time mike was on top of it at least we were one of few customers on the patio.",1
11,"If you are in the area I much prefer Thai Elephant which is near by.  We did a taste test on the soup- Tom Yum and Tom Kha.  One night we ordered a bowl of each at Thai Elephant and the very next night we made the same order at Lemongrass Thai.  T.E won hands down.\n\nAlso, ordered what we thought was a vegetarian salad only to have to send it back and was told it had fish sauce on it.",0
12,"We went to Dixie's Tavern before the Bobcats Arena opened (i.e., when you could find free parking in Uptown).  We parked in Seventh Street Station (for free back then) and walked across the street to Dixie's.   Places like Roadhouse Grill, Logan's Roadhouse, and Texas Roadhouse are designed to look a bit rundown and...like a roadhouse.  Dixie's was unpurposefully like that.  It was smoky, a bit dirty, and a bit haggard in its appearance.  \n\nWe had a large group and Dixie's was able to accommodate us together.  The service we received was slllllllllooooooooow.  It was a good thing we didn't have anywhere to be, but I was losing my buzz in between beers.  The food was average; your basic bar food, some with a Cajun flair.  From the grungy feel of the restaurant, I wouldn't want to experiment too much with food here, especially where seafood is concerned.  \n\nIf you're in college, like to party, and in your early to mid-twenties, Dixie's may seem like a cool hangout place.  If you're anything else, there are better options in Uptown.",0
13,"We have received EXCELLENT care at VCA Nellis. Dr. Roehr is a very caring and profressional Veterinarian.We treat our dogs as if there were our children, giving them the best care possible is paramount. We have found it here at VCA Nellis.",1
